,管理番号,仕入先サイト,商品名,仕入れ単価,仕入先発送日,追跡番号,受取,発送,備考,入庫登録,出庫登録
,137_ルカ_GC_1/5,駿河屋,ゲームキューブ オレンジ,5110,Mon Jan 20 2025 00:00:00 GMT+0900 (Japan Standard Time),186292817896,Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Mon Jan 27 2025 00:00:00 GMT+0900 (Japan Standard Time),,✓,✓
,137_ルカ_GC_2/5,メルカリ,ゲームキューブ オレンジ,5680,Sun Jan 19 2025 00:00:00 GMT+0900 (Japan Standard Time),623032218244,Mon Jan 20 2025 00:00:00 GMT+0900 (Japan Standard Time),Mon Jan 20 2025 00:00:00 GMT+0900 (Japan Standard Time),,✓,✓
,137_ルカ_GC_3/5,メルカリ,ゲームキューブ オレンジ,3900,Sat Jan 18 2025 00:00:00 GMT+0900 (Japan Standard Time),449804819133,Mon Jan 20 2025 00:00:00 GMT+0900 (Japan Standard Time),Mon Jan 20 2025 00:00:00 GMT+0900 (Japan Standard Time),,✓,✓
,137_ルカ_GC_5/5,メルカリ,ゲームキューブ オレンジ,7480,Mon Jan 20 2025 00:00:00 GMT+0900 (Japan Standard Time),623032638200,Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Mon Jan 27 2025 00:00:00 GMT+0900 (Japan Standard Time),,✓,✓
,137_ルカ_GC_4/5,駿河屋,ゲームキューブ オレンジ,7950,Fri Jan 24 2025 00:00:00 GMT+0900 (Japan Standard Time),439728509791,Mon Jan 27 2025 00:00:00 GMT+0900 (Japan Standard Time),Mon Jan 27 2025 00:00:00 GMT+0900 (Japan Standard Time),zaicoの登録は本体とコントローラ別々で。,✓,✓
true,303_ルカ_1/20,駿河屋,GC コントローラー オレンジ,2080,Sat Jul 19 2025 00:00:00 GMT+0900 (Japan Standard Time),440671506833,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_2/20,駿河屋,GC コントローラー バイオレット,1900,Sat Jul 19 2025 00:00:00 GMT+0900 (Japan Standard Time),440671506833,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_3/20,駿河屋,GC コントローラー バイオレット,2190,Sat Jul 19 2025 00:00:00 GMT+0900 (Japan Standard Time),440671506833,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_4/20,駿河屋,GC コントローラー バイオレット,2240,Sun Jul 20 2025 00:00:00 GMT+0900 (Japan Standard Time),440672409951,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_5/20,駿河屋,GC コントローラー シルバー,1660,Sun Jul 20 2025 00:00:00 GMT+0900 (Japan Standard Time),440672409951,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_7/20&8/20,駿河屋,GC コントローラー オレンジ 2台,1680,Wed Jul 16 2025 00:00:00 GMT+0900 (Japan Standard Time),194230940153,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),"合計金額：3,360",true,true
true,303_ルカ_9/20&10/20,駿河屋,GC コントローラー ブラック 2台,1820,Wed Jul 16 2025 00:00:00 GMT+0900 (Japan Standard Time),194230940153,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),"合計金額：3,640",true,true
true,303_ルカ_11/20&12/20,駿河屋,GC コントローラー ブラック 2台,1650,Wed Jul 16 2025 00:00:00 GMT+0900 (Japan Standard Time),A439123980842A,Fri Jul 18 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),"合計金額：3,300",true,true
true,303_ルカ_13/20,駿河屋,GC コントローラー バイオレット,1870,Wed Jul 16 2025 00:00:00 GMT+0900 (Japan Standard Time),A439123980842A,Fri Jul 18 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_18/20,駿河屋,GC コントローラー シルバー,2130,Sat Jul 19 2025 00:00:00 GMT+0900 (Japan Standard Time),181021558001,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_19/20,駿河屋,GC コントローラー シルバー,2270,Sat Jul 19 2025 00:00:00 GMT+0900 (Japan Standard Time),181021558001,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_20/20,駿河屋,GC コントローラー シルバー,2230,Wed Jul 16 2025 00:00:00 GMT+0900 (Japan Standard Time),439126964533,Fri Jul 18 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_14/20,駿河屋,GC コントローラー オレンジ,2110,Sun Jul 20 2025 00:00:00 GMT+0900 (Japan Standard Time),439154967241,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_15/20,駿河屋,GC コントローラー シルバー,1580,Sun Jul 20 2025 00:00:00 GMT+0900 (Japan Standard Time),439154967241,Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),Tue Jul 22 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_6/20,駿河屋,GC コントローラー バイオレット,2000,Wed Jul 23 2025 00:00:00 GMT+0900 (Japan Standard Time),181021587865,Fri Jul 25 2025 00:00:00 GMT+0900 (Japan Standard Time),,,true,false
true,303_ルカ_16/20,駿河屋,GC コントローラー ブラック,1940,Wed Jul 23 2025 00:00:00 GMT+0900 (Japan Standard Time),860248583574,Fri Jul 25 2025 00:00:00 GMT+0900 (Japan Standard Time),Fri Jul 25 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
true,303_ルカ_17/20,駿河屋,GC コントローラー オレンジ,2170,Wed Jul 23 2025 00:00:00 GMT+0900 (Japan Standard Time),860248583574,Fri Jul 25 2025 00:00:00 GMT+0900 (Japan Standard Time),Fri Jul 25 2025 00:00:00 GMT+0900 (Japan Standard Time),,true,true
