取引相手,No.,支払い日,商品名,注文数,商品価格,通貨,商品価格(円),状況,,仕入れ,東京からの発送(仕入れ終了),,数量×商品価格(円),仕入れ合計,還付,送料(1つ550円),還付込み利益,累積利益,,,,,,,,,,,
Like,156,Fri Feb 07 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ランダムカラー,12,105,ドル,15914.849999999999,complete,,,,,190978.19999999998,168000,15272.727272727272,3600,34650.927272727255,195201.75818181818,,,,,,,,,,,
Like,157,Fri Feb 07 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ランダムカラー,12,105,ドル,15914.849999999999,complete,,,,,190978.19999999998,168000,15272.727272727272,3600,34650.927272727255,229852.68545454543,,,,,,,,,,,
Like,158,Fri Feb 07 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ランダムカラー,6,105,ドル,15914.849999999999,complete,,,,,95489.09999999999,84000,7636.363636363636,1800,17325.463636363627,247178.14909090905,,,,,,,,,,,
Like,163,,スイッチタブレット 有機,8,145,ドル,21950.1,complete,,,,,175600.8,152000,13818.181818181818,2400,35018.981818181805,574983.980909091,,,,,,,,,,,
Like,174,,スイッチライト,20,98,ドル,14750.960000000001,complete,,,,,295019.2,303576,24007,6000,9450.200000000012,971209.5081818183,,,,,,,,,,,
Like,175,,スイッチライト,20,98,ドル,14750.960000000001,complete,,,,,295019.2,260000,23636.363636363636,6000,52655.563636363644,1023865.0718181819,,,,,,,,,,,
Like,176,,スイッチライト,10,98,ドル,14750.960000000001,complete,,,,,147509.6,130000,11818.181818181818,3000,26327.781818181822,1050192.8536363638,,,,,,,,,,,
Like,185,,スイッチタブレット,20,110,ドル,16481.300000000003,complete,,,,,329626.00000000006,277170,25197,6000,71653.00000000006,1394821.444545455,,,,,,,,,,,
Like,186,,スイッチタブレット,20,110,ドル,16481.300000000003,complete,,,,,329626.00000000006,280000,25454.545454545456,6000,69080.54545454551,1463901.9900000005,,,,,,,,,,,
Like,187,,スイッチタブレット,10,110,ドル,16481.300000000003,complete,,,,,164813.00000000003,238000,21636.363636363636,3000,-54550.63636363634,1409351.3536363642,,,,,,,,,,,
