取引相手,No.,支払い日,商品名,注文数,商品価格,通貨,商品価格(円),状況,,仕入れ,東京からの発送(仕入れ終了),,数量×商品価格(円),仕入れ合計,還付,送料(1つ550円),還付込み利益,累積利益,,,,,,,,,,,
サミー,127,Tue Jan 07 2025 09:00:00 GMT+0900 (Japan Standard Time),PS Vita(ゲームボーイカラー2台),18,106.6,ドル,16809.753999999997,complete,,,,,302575.5719999999,267378,24307,6000,53504.57199999993,201062.67199999996,,,,,,,,,,,
サミー,128,Mon Jan 06 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000,15,68,ドル,10722.92,complete,,,,,160843.8,131250,11932,4500,37025.79999999999,238088.47199999995,,,,,,,,,,,
サミー,130,Mon Jan 06 2025 09:00:00 GMT+0900 (Japan Standard Time),PS Vita 1000,10,120,ドル,18922.8,complete,,,,,189228,144940,13176,3000,54464,292552.47199999995,,,,,,,,,,,
サミー,139,Wed Jan 15 2025 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL,10,155.8,ドル,24362.446000000004,complete,,済,,,243624.46000000002,227630,12094,3000,25088.46000000002,1145343.242909091,,,,,,,,,,,
サミー,140,Wed Jan 15 2025 09:00:00 GMT+0900 (Japan Standard Time),New 3DS,4,162,ドル,25331.940000000002,complete,,済,,,101327.76000000001,96679,4182,1200,7630.760000000009,1152974.002909091,,,,,,,,,,,
サミー,140,Wed Jan 15 2025 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL,4,150,ドル,23455.5,complete,,すべて在庫使用,,,93822,80000,7273,1200,19895,1172869.002909091,,,,,,,,,,,
サミー,149,Thu Jan 30 2025 09:00:00 GMT+0900 (Japan Standard Time),DSi LL,15,50,ドル,7731,complete,,,,,115965,118154,5951,4500,-738,1514337.7074545457,,,,,,,,,,,
サミー,151,Fri Jan 31 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita1000,10,108,ドル,16687.079999999998,complete,,,,,166870.8,148250,13477,3000,29097.79999999999,1628587.0074545457,,,,,,,,,,,
サミー,152,Fri Jan 31 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita2000,13,107,ドル,16532.57,complete,,,,,214923.41,182000,16545.454545454544,3900,45568.86454545455,1674155.8720000002,,,,,,,,,,,
サミー,154,Mon Feb 03 2025 09:00:00 GMT+0900 (Japan Standard Time),New2DSLL,4,155,ドル,23983.149999999998,complete,,,,,95932.59999999999,87898,5960,1200,12794.599999999991,146581.19090909092,,,,,,,,,,,
サミー,154,Mon Feb 03 2025 09:00:00 GMT+0900 (Japan Standard Time),New3DS,4,167,ドル,25839.91,complete,,,,,103359.64,96510,2180,1200,7829.639999999999,154410.83090909093,,,,,,,,,,,
サミー,154,Mon Feb 03 2025 09:00:00 GMT+0900 (Japan Standard Time),3DSLL,4,125,ドル,19341.25,complete,,,,,77365,73498,3473,1200,6140,160550.83090909093,,,,,,,,,,,
サミー,162,Sat Feb 08 2025 09:00:00 GMT+0900 (Japan Standard Time),New3DSLL,14,175,ドル,26495,complete,,,,,370930,339425,17760,4200,45065,539964.9990909091,,,,,,,,,,,
サミー,177,Fri Feb 21 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP3000 ランダムカラー,20,74,ドル,11138.480000000001,complete,,,,,222769.60000000003,175000,15909.09090909091,6000,57678.69090909095,1107871.5445454547,,,,,,,,,,,
サミー,178,Fri Feb 21 2025 09:00:00 GMT+0900 (Japan Standard Time),3DSLL 15ドル値引き,12,128.75,ドル,19199.2,complete,,,,,230390.40000000002,217006,5000,3600,14784.400000000023,1122655.9445454548,,,,,,,,,,,
サミー,179,Sun Feb 23 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita2000,26,120,ドル,17907.6,complete,,,,,465597.6,415958,36269,7800,78108.59999999998,1200764.544545455,,,,,,,,,,,
サミー,179,Sun Feb 23 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita1000,7,120,ドル,17907.6,complete,,,,,125353.19999999998,109199,8745,2100,22799.199999999983,1223563.7445454549,,,,,,,,,,,
