月,取引相手,No.,支払い日,商品名,数量×商品価格(円),仕入れ合計,還付,送料(1つ550円),還付込み利益,累積利益,,,,,,,,,,
2,ルカ,358,Mon Feb 02 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL ランダムカラー,582672.4,540000,49090.90909090909,6000,85763.30909090911,,還付合計,,,,還付込み利益,送料(300円),実際の送料,実際の利益,,合計
2,サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ターコイズ,108871,76200,6927,1200,38398,,467782.72727272724,,,ルカ,460791.79090909095,57750,18096,500445.79090909095,,1012501.2372727273
2,サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ライム,116958.56,83730,7612,1200,39640.56,,,,,,,,,,,
2,サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL オレンジ,133755.8,109500,9955,1200,33010.79999999999,,,,,,,,,,,
2,サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ラベンダー,146198.2,125720,11429,1200,30707.20000000001,,,,,,還付込み利益,送料(300円),実際の送料,実際の利益,,
2,サミー,359,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),3DS ピンクを除く,279954,250620,22783.636363636364,6000,46117.63636363637,,,,,デボン,0,0,0,0,,
2,ルカ,360,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 ホワイト,117811.20000000001,112260,8249,1500,12300.200000000012,,,,,,,,,,,
2,ルカ,360,Tue Feb 03 2026 09:00:00 GMT+0900 (Japan Standard Time),DSiLL ランダムカラー,50622.00000000001,45750,4159,1500,7531.000000000007,,,,,,,,,,,
2,ルカ,361,Mon Feb 09 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL ランダムカラー,588328.8,560000,50909.09090909091,6000,73237.89090909096,,,,,,還付込み利益,送料(300円),実際の送料,実際の利益,,
2,ルカ,361,Mon Feb 09 2026 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ラベンダー,190834.5,178970,16270,1500,26634.5,,,,,サミー,481736.4463636363,54800,24481,512055.4463636363,,
2,サミー,362,Mon Feb 16 2026 09:00:00 GMT+0900 (Japan Standard Time),Nintendo64,122768.00000000001,101681,3102,11000,13189.000000000015,,,,,,,,,,,
2,サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ブラック,197357.25,175681,15971,2750,34897.25,,,,,,,,,,,
2,サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ホワイト,386975,285736,13862,5500,109601,,,,,,,,,,,
2,サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL レッド,348277.5,333181,30289,5500,39885.5,,,,,,,,,,,
2,サミー,363,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ブルー,325059,314530,20427,5500,25456,,,,,,,,,,,
2,サミー,364,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 ブラック,193487.5,182460,16587,5500,22114.5,,,,,,,,,,,
2,サミー,364,Wed Feb 18 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 レッド、ブルー、ホワイト,371495.99999999994,339478,24951,8250,48718.99999999994,,,,,,,,,,,
2,ルカ,365,Fri Feb 20 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DS LL ブラック,223905.5,215940,19631,2750,24846.5,,,,,,,,,,,
2,ルカ,365,Fri Feb 20 2026 09:00:00 GMT+0900 (Japan Standard Time),3DS LL ホワイトベース,246753,231370,18988,5500,28871,,,,,,,,,,,
2,ルカ,366,Mon Feb 23 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL ランダムカラー,876384,800000,72727.27272727272,13750,135361.2727272727,,,,,,,,,,,
2,ルカ,367,Thu Feb 26 2026 09:00:00 GMT+0900 (Japan Standard Time),DSiLL ランダムカラー,276285,250411,20681,11000,35555,,,,,,,,,,,
2,ルカ,368,Thu Feb 26 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ブラック,270759.3,255000,23181.81818181818,8250,30691.118181818165,,,,,,,,,,,
