2,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出荷,,進捗,
"Vita 2000　ホワイト 10台 18,000",,,,,,,,,,,
Sun Nov 16 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体 Wi-Fiモデル グレイシャー・ホワイト,https://www.suruga-ya.jp/product/other/105011283,15800,駿河屋 名古屋新開橋店,グレイシャー・ホワイト,有,,,発送済,
Sun Nov 16 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体 Wi-Fiモデル グレイシャー・ホワイト,https://www.suruga-ya.jp/product/other/105011283,18301,エンターキング 西新井店 Supported by 駿河屋,グレイシャー・ホワイト,有,,,発送済,
Sun Nov 16 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体 Wi-Fiモデル グレイシャー・ホワイト,https://www.suruga-ya.jp/product/other/105011283,18700,駿河屋,グレイシャー・ホワイト,有,,,発送済,
Mon Nov 17 2025 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,PlayStation Vita Wi-Fiモデル グレイシャー・ホワイト(PCH-2000ZA22),https://www.amazon.co.jp/PlayStation-Vita-Wi-Fi%E3%83%A2%E3%83%87%E3%83%AB-%E3%82%B0%E3%83%AC%E3%82%A4%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%BB%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88-PCH-2000ZA22/dp/B014QAIBNM/ref=sr_1_2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=SSBYDHI00WTH&dib=eyJ2IjoiMSJ9.wKwVAXzxnPUX6XSeokE41z6OoqEZ5fkfwVgkd5ze6bfeKZcrsCXX5Y22c_YhWXiZAa5GHSOfba6pvjYIc5oKrDG1lHbh8Viw27mRj2wR2FKcvocfVvHy7XH_vG6_BLxy2kxAgVeWu5FyRbpj0oSYkF4dr-N86eTlsiuwO6D6XNPPvU-_jqQTXodflt0L-Ng8zJdpMqjpqOwFQygV29FfueL8mcnBYWzNwXcHk-sYVdnLWAeYy1suqD31hYeBuAueNNWJ4BxFFv8hr6ahy37WD0mhVqxavbw_NrZZUFPijOw.Ot6IftppEI6Ohn9sp-DfOlHlfzldLkFHTanv9NqyGjs&dib_tag=se&keywords=Vita%2B2000&qid=1726703566&sprefix=vita%2B20%2Caps%2C345&sr=8-2&th=1,16200,,グレイシャー・ホワイト,有,,,発送済,
Mon Nov 17 2025 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,PlayStation Vita Wi-Fiモデル ホワイト (PCH-2000ZA12)【メーカー生産終了】,https://www.amazon.co.jp/PlayStation-Vita-Wi-Fi%E3%83%A2%E3%83%87%E3%83%AB-PCH-2000ZA12-%E3%80%90%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E7%94%9F%E7%94%A3%E7%B5%82%E4%BA%86%E3%80%91/dp/B00F27JDUY/ref=sr_1_31?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=SSBYDHI00WTH&dib=eyJ2IjoiMSJ9.wKwVAXzxnPUX6XSeokE41z6OoqEZ5fkfwVgkd5ze6bfeKZcrsCXX5Y22c_YhWXiZAa5GHSOfba6pvjYIc5oKrDG1lHbh8Viw27mRj2wR2FKcvocfVvHy7XH_vG6_BLxy2kxAgVeWu5FyRbpj0oSYkF4dr-N86eTlsiuwO6D6XNPPvU-_jqQTXodflt0L-Ng8zJdpMqjpqOwFQygV29FfueL8mcnBYWzNwXcHk-sYVdnLWAeYy1suqD31hYeBuAueNNWJ4BxFFv8hr6ahy37WD0mhVqxavbw_NrZZUFPijOw.Ot6IftppEI6Ohn9sp-DfOlHlfzldLkFHTanv9NqyGjs&dib_tag=se&keywords=Vita+2000&qid=1726703566&sprefix=vita+20%2Caps%2C345&sr=8-31,19800,,ホワイト,有,,,発送済,
Tue Nov 18 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古PSVITAハード PlayStation Vita本体 Wi-Fiモデル ホワイト[PCH-2000],https://www.suruga-ya.jp/product/other/105010848,19160,駿河屋甲府店,ホワイト,有,,,キャンセル,
Wed Nov 19 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体 Wi-Fiモデル グレイシャー・ホワイト,https://www.suruga-ya.jp/product/other/105011283,18770,駿河屋柏青葉台店,グレイシャー・ホワイト,有,,,発送済,
Fri Nov 21 2025 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,【美品】SONY PSVITA PCH-2000 ホワイト 本体のみ PlayStation Vita,https://paypayfleamarket.yahoo.co.jp/item/z499085620,18800,2288P,ホワイト,無,,,発送済,
Sat Nov 22 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体 Wi-Fiモデル グレイシャー・ホワイト[PCH-2000],https://www.suruga-ya.jp/product/other/105011283,19150,駿河屋　近見店,グレイシャー・ホワイト,有,,,発送済,
