購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出荷,,進捗
New 3DS ランダムカラー 10台　28000,,,,,,,,,,
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/other/104012269,20450,駿河屋 名古屋栄店,ブラック,有,,,発送済
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/other/104012269,21780,駿河屋 鴻巣吹上店,ブラック,有,,,キャンセル
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/other/104012269,19000,駿河屋GIGA福岡春日店・プレート欠品,ブラック,有,,,発送済
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/other/104012269,27690,駿河屋浜松領家店,ブラック,有,,,発送済
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ホワイト,https://www.suruga-ya.jp/product/other/104012268,25752,駿河屋宇都宮テクノ店,ホワイト,有,,スマブラのきせかえ,発送済
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ホワイト,https://www.suruga-ya.jp/product/other/104012268,32460,駿河屋柏青葉台店,ホワイト,有,,,発送済
Tue Dec 09 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/detail/804012269?tenpo_cd=400469,23250,駿河屋 アルパーク北棟店,ブラック,有,,,発送済
Thu Dec 11 2025 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Newニンテンドー3DS きせかえプレート ブラック,https://paypayfleamarket.yahoo.co.jp/item/z521187840,1900,きせかえプレート・1900P,ブラック,無,,,発送済
Thu Dec 11 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/other/104012269,27020,駿河屋 津田沼ビート店,ブラック,有,,,発送済
Fri Dec 12 2025 00:00:00 GMT+0900 (Japan Standard Time),メルカリ,New 3DS ホワイト 本体,https://jp.mercari.com/item/m66907900046,28000,,ホワイト,無,,,発送済
Sun Dec 14 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DS本体 ブラック,https://www.suruga-ya.jp/product/other/104012269,26770,駿河屋日向店,ブラック,有,,,発送済
Sun Dec 14 2025 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,Newニンテンドー3DS ホワイト,https://www.amazon.co.jp/%E4%BB%BB%E5%A4%A9%E5%A0%82-4-90237E-12-%E3%83%8B%E3%83%B3%E3%83%86%E3%83%B3%E3%83%89%E3%83%BC3DS-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%80%90%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E7%94%9F%E7%94%A3%E7%B5%82%E4%BA%86%E3%80%91/dp/B00NAW5R0I/ref=sr_1_20?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=UU1W38G18WE8&dib=eyJ2IjoiMSJ9.FYu6pde6_ylV8rFdrCfQ_CWjGu_T7O20DlO_mr5jgO-0jdfi5hrGuXgCUrskMWlVUTWf6i_M3hZrRmGk_Ae-AVTIrIvawq9JA6VxP3z4h5iG6r__nIDQ-NKkHSK2r5ZkRdwi4TdMJcwGrLEVxnsr2LIUwgNsRqM31DOmRLIk_uK1nzzcO46k7_Sw5s4UeerjXjaWxrKVC7CqF50U_35hmeIJi--Nycfm31JrIYYJFf2YahmUvQuTJDEzzGqoojc-D7dPYfORONLlD_ClfcXD2KtE9zbfZnGTZCgF0JBOLnw.JiSo9HGjqDbH9Aq95AnZdVR8Kgxld2E3JcfKWS-wt1U&dib_tag=se&keywords=New%2B3DS&qid=1725489167&sprefix=new%2B3ds%2Caps%2C179&sr=8-20&th=1,28980,,ホワイト,無,あるかも？,,発送済
,,,インボイス有,202392,,,,,,
,,,インボイス無,58880,,,,,,
,,,,261272,,,,,,
,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,
160,181.45,290320,261272,18399.272727272728,3000,44447.27272727273,,,,
