購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出庫,,進捗
Vita 1000 レッド、ブルー、ホワイト 各種5台 22500,,,,,,,,,,
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,PlayStation Vita (プレイステーション ヴィータ) Wi‐Fiモデル クリスタル・ホワイト (PCH-1000 ZA02),https://www.amazon.co.jp/PlayStation-%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3-%E3%82%AF%E3%83%AA%E3%82%B9%E3%82%BF%E3%83%AB%E3%83%BB%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88-PCH-1000-%E3%80%90%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E7%94%9F%E7%94%A3%E7%B5%82%E4%BA%86%E3%80%91/dp/B0081O0U34/ref=mp_s_a_1_3?crid=PYXLUL1BS6XI&dib=eyJ2IjoiMSJ9.C2o2livKLvAwXye3gxyLbKpSOC3hIfA-uwCMrULA1roxdCxUJZIfTPa_SU1QcCAvSEsbDNvWF8h_ZhhffXvS0NmiIU_lU_YxYPMipC4s5bu2WgH68nPj97GzW2E_KKOL7sQJDHqAGFOAfyYuPr4-8MdNbgsw1po90qh1VjE4rWzgyOe_mNpW0GJxdjdXKWhHaXT4cISmFDdlRmCHXD9h9A.kq3YpBNpXZnt8r6ZfFv3m8fZbjAzTOTh7R8rGYIUX2Q&dib_tag=se&keywords=Vita+1000&qid=1765765967&sprefix=vita+1000%2Caps%2C190&sr=8-3,22980,,クリスタル・ホワイト,有,,,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体<<Wi-Fiモデル>>(クリスタル・ホワイト)[PCH-1000 ZA02],https://www.suruga-ya.jp/product/other/105010606,22300,駿河屋,クリスタル・ホワイト,有,,,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体<<Wi-Fiモデル>>(クリスタル・ホワイト)[PCH-1000 ZA02],https://www.suruga-ya.jp/product/other/105010606,23730,駿河屋　山口大学前店,クリスタル・ホワイト,有,,,キャンセル
Tue Dec 16 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体<<3G/Wi-Fiモデル>>(クリスタル・ホワイト)[初回限定版][PCH-1100 AB02],https://www.suruga-ya.jp/product/other/105010605,22710,駿河屋高松瓦町FLAG店,クリスタル・ホワイト,有,,,発送済
Tue Dec 16 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体<<3G/Wi-Fiモデル>>(クリスタル・ホワイト)[初回限定版][PCH-1100 AB02],https://www.suruga-ya.jp/product/other/105010605,23080,駿河屋宇都宮テクノ店,クリスタル・ホワイト,有,,,発送済
Thu Dec 18 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体<<3G/Wi-Fiモデル>>(クリスタル・ホワイト)[初回限定版][PCH-1100 AB02],https://www.suruga-ya.jp/product/other/105010605,22410,駿河屋 ひたちなかファッションクルーズ店,クリスタル・ホワイト,有,,,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,PlayStation Vita本体 Wi-Fiモデル サファイア・ブルー,https://www.suruga-ya.jp/product/other/105010686,23320,駿河屋矢板店,サファイア・ブルー,有,,,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),ヤフオク,【動作確認済】 PlayStation Vita Wi-Fiモデル サファイア・ブルー PCH-1000 ZA04 / PSVita,https://auctions.yahoo.co.jp/jp/auction/u1211634213,22520,1500クーポン,サファイア・ブルー,無,,21020,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),メルカリ,【外観極美品】PSVita PCH-1000サファイアブルー,https://jp.mercari.com/item/m75648705264,18680,,サファイア・ブルー,無,,,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),メルカリ,PSVita Wi‐Fiモデル サファイア・ブルー PCH-1000 ZA04,https://jp.mercari.com/item/m61377190825,21000,,サファイア・ブルー,無,,,発送済
