購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出荷,,進捗,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,42880,駿河屋 東海荒尾店,,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,43760,駿河屋 佐大通り店,,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,44100,駿河屋 佐大通り店,,有,,,キャンセル,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,48300,駿河屋　利府店,,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,49000,駿河屋,,有,,,発送済,,365_ルカ_3/5
,,,,32000,,,,,,,,
,,,インボイス有,215940,,,,,,,,
,,,インボイス無,,,,,,,,,
,,,,215940,,,,,,,,
,,,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ550円),還付込み利益,,,,,,
245,182.78,223905.5,215940,19630.909090909092,2750,24846.409090909092,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード ニンテンドー3DSLL本体 ホワイト,https://www.suruga-ya.jp/product/other/104010682,24610,駿河屋 鴻巣吹上店,ホワイト,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード ニンテンドー3DSLL本体 ホワイト,https://www.suruga-ya.jp/product/other/104010682,24610,駿河屋 佐大通り店,ホワイト,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード ニンテンドー3DSLL本体 ホワイト,https://www.suruga-ya.jp/product/other/104010682,24900,駿河屋　利府店,ホワイト,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード ニンテンドー3DSLL本体 ホワイト,https://www.suruga-ya.jp/product/other/104010682,25420,駿河屋千葉駅前店,ホワイト,有,,,発送済,,
Sat Feb 21 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード ニンテンドー3DSLL本体 ピンク×ホワイト,https://www.suruga-ya.jp/product/other/104010895,22550,駿河屋 ウイングタウン岡崎店,ピンク×ホワイト,有,,,発送済,,
