8/6までの購入数,,,合計購入数,累積販売台数,残,累積販売台数,8/7以降の購入数,Wed Aug 07 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 14 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 21 2024 00:00:00 GMT+0900 (Japan Standard Time),返品修理,Wed Aug 28 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 04 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 11 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 25 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Oct 08 2024 00:00:00 GMT+0900 (Japan Standard Time),10/4福山→東京在庫移管,Wed Oct 16 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Oct 24 2024 00:00:00 GMT+0900 (Japan Standard Time),福山→東京,Wed Oct 30 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 06 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Nov 19 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 27 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 10 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Dec 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 24 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 31 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Jan 09 2025 00:00:00 GMT+0900 (Japan Standard Time),Sun Jan 19 2025 00:00:00 GMT+0900 (Japan Standard Time),Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time)
13,在庫数,グレー,65,57,8,グレー：57 イエロー：30 コーラル：34 ターコイズ：71 ブルー：13 ザシアン：20,52,0,5,2,1,1,15,2,3,11,4,-7,7,0,-10,4,3,5,8,3,-10,2,2,4,-8,5
12,,イエロー,40,30,10,,28,0,5,2,,4,13,4,4,0,1,-15,7,0,-15,0,3,3,3,5,0,2,1,4,-10,7
7,,コーラル,42,34,8,,35,3,0,2,1,3,6,1,0,3,2,,7,0,-8,1,0,3,5,5,0,0,4,0,-8,5
18,,ターコイズ,86,71,15,,68,0,6,2,,0,22,5,4,5,5,-12,13,0,-17,6,4,3,4,18,-10,4,4,2,-12,12
2,,ブルー,19,13,6,,17,2,0,0,,0,0,0,0,1,3,,0,0,,4,0,0,1,1,0,1,0,0,0,4
4,,ザシアン,24,20,4,,20,0,2,0,,0,3,0,4,3,0,,0,4,,4,0,,,0,0,0,0,0,0,0
56,,合計,276,225,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,セールスナンバー,品目,色・備考,個数,累積,梱包,箱・充電器,送り状,,,,,,,,,,,,,,,,,,,,,,,
toy net発送済み,,6850,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1721259549872-yklgp846lh.pdf,,,,,,,,,,,,,,,,,,,,,,,
