月,取引相手,No.,支払い日,商品名,数量×商品価格(円),仕入れ合計,還付,送料(1つ550円),還付込み利益,累積利益,,,,,,,,,,
1,サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 レッド、ブラック、ブルー、ホワイト,203918.00000000003,194410,17674,6000,21182.00000000003,,還付合計,,,,還付込み利益,送料(300円),実際の送料,実際の利益,,合計
1,サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ピンク,47058,70950,6450,1500,-18942,,230272.81818181818,,,ルカ,200097.59999999998,16500,18096,198501.59999999998,,436245.8181818182
1,サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 グリーン,86273.00000000001,82140,7467,1500,10100.000000000015,,,,,,,,,,,
1,サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ゴールド、シルバー,211761.00000000003,173690,14445,3000,49516.00000000003,,,,,,,,,,,
1,ルカ,351,Sun Jan 11 2026 09:00:00 GMT+0900 (Japan Standard Time),3DSLL 白ベース,192906,172550,15686,3000,33042,,,,,,還付込み利益,送料(300円),実際の送料,実際の利益,,
1,ルカ,351,Sun Jan 11 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL,146976,150250,8568,1500,3794,,,,,デボン,0,0,0,0,,
1,ルカ,351,Sun Jan 11 2026 09:00:00 GMT+0900 (Japan Standard Time),wii リモコンプラス,29395.2,13410,0,3000,12985.2,,,,,,,,,,,
1,サミー,352,Tue Jan 20 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ブルー,20543.9,18000,1636.3636363636363,600,3580.2636363636375,,,,,,,,,,,
1,サミー,352,Tue Jan 20 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ブルー ダメージあり,18963.6,17000,1545.4545454545455,600,2909.054545454544,,,,,,還付込み利益,送料(300円),実際の送料,実際の利益,,
1,サミー,352,Tue Jan 20 2026 09:00:00 GMT+0900 (Japan Standard Time),PS Vita2000 シルバー,17383.3,22000,0,300,-4916.700000000001,,,,,サミー,224725.2181818182,37500,24481,237744.2181818182,,
1,ルカ,353,Thu Jan 22 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ブラック,182515.2,161910,14719,3000,32324.20000000001,,,,,,,,,,,
1,ルカ,354,Sat Jan 24 2026 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL ランダムカラー,581977.2,503827,45802,6000,117952.19999999995,,,,,,,,,,,
1,サミー,355,Sat Jan 31 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ランダムカラー,420865.6,380000,34545.454545454544,12000,63411.05454545452,,,,,,,,,,,
1,サミー,356,Sat Jan 31 2026 09:00:00 GMT+0900 (Japan Standard Time),3DSLL ランダムカラー,371352,355570,32324.545454545456,6000,42106.545454545456,,,,,,,,,,,
1,サミー,357,Sun Feb 01 2026 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 ランダムカラー,355878.99999999994,323510,29410,6000,55778.99999999994,,,,,,,,,,,
