157.015007,(ドル),※インボイス08・65だけドル,,,,ルカ宛発送管理,ルカ・自社サイト,ルカ・インスタ,ルカ共有スプシ,
182.7675,(ユーロ),,,,,https://docs.google.com/spreadsheets/d/133cDct4krrsJDeXpO9l0fIrd3-ZYDc39u6-JpQvcxv4/edit?gid=825416529#gid=825416529,PS Vita 2000 in khaki schwarz gemoddet - 3DSRenew,https://www.instagram.com/3dsrenew/,Shipping Management,
,,,,,,,,,,
New 3DS LL,販売価格,販売価格(￥),インボイス,日付,,New 2DS LL,販売価格,販売価格(￥),インボイス,日付
メタリックブラック,135,24673.612500000003,0006,Fri Jun 21 2024 00:00:00 GMT+0900 (Japan Standard Time),,ランダムカラー,135,24673.612500000003,0001,Fri Jun 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
〃,140,25587.45,0020,Sun Jul 14 2024 00:00:00 GMT+0900 (Japan Standard Time),,〃,138,25221.915,0006,Fri Jun 21 2024 00:00:00 GMT+0900 (Japan Standard Time)
〃,165,30156.6375,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,〃,140,25587.45,0044,Wed Sep 11 2024 00:00:00 GMT+0900 (Japan Standard Time)
主にブラック＆ホワイト,145,26501.287500000002,0058,Thu Sep 26 2024 00:00:00 GMT+0900 (Japan Standard Time),,〃,148,27049.59,0082,Tue Nov 05 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,,,,,
ホワイト,135,24673.612500000003,0007,Sat Jun 22 2024 00:00:00 GMT+0900 (Japan Standard Time),,ラベンダー・ホワイト,140,25587.45,0008,Thu May 23 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,〃,140,25587.45,0020,Sun Jul 14 2024 00:00:00 GMT+0900 (Japan Standard Time)
ライム・ブラック,155,24337.326085,0008,Thu May 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,〃,170,31070.475000000002,0054,Sun Oct 27 2024 00:00:00 GMT+0900 (Japan Standard Time)
〃,158,28877.265000000003,0025,Wed Jul 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,ターコイズorライム,125,22845.9375,0020,Sun Jul 14 2024 00:00:00 GMT+0900 (Japan Standard Time)
メタリック・レッド,140,25587.45,0021,Thu Jul 18 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,はぐれメタル,160,29242.800000000003,0017,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
ランダムカラー,140,25587.45,0025,Wed Jul 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,〃,170,31070.475000000002,0027,Thu Aug 08 2024 00:00:00 GMT+0900 (Japan Standard Time)
〃,145,26501.287500000002,0027,Thu Aug 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,145,26501.287500000002,33～35,8/16・27,,,,,,
〃,140,25587.45,0042,Thu Sep 12 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,140,25587.45,64・81,10/11・10/31,,,,,,
,,,,,,,,,,
モンスターハンター グレー,140,25587.45,0017,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,148,27049.59,0027,Thu Aug 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ピカチュウ,327,59764.9725,0027,Thu Aug 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3DSLL,販売価格,販売価格(￥),インボイス,日付,,New 3DS,販売価格,販売価格(￥),インボイス,日付
ホワイト,100,18276.75,0007,Sat Jun 22 2024 00:00:00 GMT+0900 (Japan Standard Time),,ランダムカラー,125,22845.9375,0038,Tue Sep 03 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,〃,135,24673.612500000003,0043,Thu Sep 12 2024 00:00:00 GMT+0900 (Japan Standard Time)
ランダムカラー,55,10052.212500000001,0020,Sun Jul 14 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,92,16814.61,0028,Thu Aug 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,85,15535.237500000001,39・40,9/6・9/12,,,,,,
