購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出荷,,進捗,
New 3DS LL 15台,,,,,,,,,,,
Sun Nov 16 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,26520,駿河屋新潟駅南店,,有,✓,,発送済,
,toynet,,,25000,×5,,有,✓,125000,発送済,
Thu Nov 20 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,24490,駿河屋　フォレオ東仙台店,,有,,,キャンセル,
Thu Nov 20 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,25500,エンターキング 西新井店 Supported by 駿河屋,,有,✓,,発送済,
Thu Nov 20 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,27400,エンターキング 西新井店 Supported by 駿河屋,,有,✓,,発送済,
Thu Nov 20 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,26050,駿河屋浜松領家店,,有,,,キャンセル,
Thu Nov 20 2025 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,27080,駿河屋 松山大街道店,,有,,,キャンセル,
Sat Nov 22 2025 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Nintendo new 3DSLL メタリックグレー　タッチペン　4GB microカード,https://paypayfleamarket.yahoo.co.jp/item/z480178090?cpt_s=payf&cpt_m=share&cpt_n=item&cpt_c=android,26900,,,無,✓,,発送済,
Sat Nov 22 2025 00:00:00 GMT+0900 (Japan Standard Time),ヤフオク,Newニンテンドー3DS LL メタリックブラック,https://auctions.yahoo.co.jp/jp/auction/1205716074,29800,1500クーポン,28300,無,✓,,発送済,
Tue Nov 25 2025 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,ニンテンドー NEW 3DSLL 本体 メタリックブラック RED-001 動作確認済 24時間以内発送 厳重梱包 任天堂 ゲーム,https://paypayfleamarket.yahoo.co.jp/item/z516641962?cpt_s=payf&cpt_m=share&cpt_n=item&cpt_c=android,27500,,,無,,,発送済,
Tue Nov 25 2025 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,【極美品】【IPS液晶】Newニンテンドー3DS LL メタリックブラック,https://paypayfleamarket.yahoo.co.jp/item/z518584910,26490,290P,,無,,,発送済,
Sat Nov 29 2025 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,New ニンテンドー3DS LL メタリックブラック,https://www.amazon.co.jp/%E4%BB%BB%E5%A4%A9%E5%A0%82-New%E3%83%8B%E3%83%B3%E3%83%86%E3%83%B3%E3%83%89%E3%83%BC3DS-LL-%E3%83%A1%E3%82%BF%E3%83%AA%E3%83%83%E3%82%AF%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%80%90%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E7%94%9F%E7%94%A3%E7%B5%82%E4%BA%86%E3%80%91/dp/B00NAW5DT8/ref=sr_1_19?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=13MYKMPCSRVCG&dib=eyJ2IjoiMSJ9.FYu6pde6_ylV8rFdrCfQ_GODPWRzQ6k3uiDNL1dt87w-OFxepv0MIXV4So34EQU_WTqbzCvxmMW978gyDxFW6NJbsWAHpw3lVYWJ7JVpO0M9DKgXE1BTTC39i0rOqPUE331Ekb0xVdqo0SGPvBqU9WBxZJWO52RU_-PJEAYn9ZEvi2YSNpwRV2GCm3D-ds0ag848qPXWPs8dwHT73oUfn8oiB78kgIiOZ30T4eQ9p_WSRcghmGRKZ4kOyudJd-5dCwCQEJQyMIZIA9xV69ViIvzZGg5dDyihg3h-ZYjjPX4.VYkqUiYL0vHm-6WGe3K20cD-kL5vyMYb88riw2CYcLU&dib_tag=se&keywords=New+3DS&qid=1724975227&sprefix=new+3ds+%2Caps%2C179&sr=8-19,27440,,,有,,,発送済,7
Sun Nov 30 2025 00:00:00 GMT+0900 (Japan Standard Time),ヤフオク,【動作確認済】 New ニンテンドー3DS LL メタリックブラック,https://auctions.yahoo.co.jp/jp/auction/n1206697051,30030,1500クーポン・150P,28530,無,,,発送済,
Sun Nov 30 2025 00:00:00 GMT+0900 (Japan Standard Time),メルカリ,New 3DS LL ブラック 本体,https://jp.mercari.com/item/m58080499565,27800,,,無,,,発送済,
,,,インボイス有,231860,,,,,,,
,,,インボイス無,165520,,,,,,,
,,,,397380,,,,,,,
,,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,,
153,179.07,410965.64999999997,397380,21078.18181818182,4500,30163.83181818179,,,,,
