購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出荷,,進捗
3DSLL 白ベース 10台,,,,,,,,,,
手元9台　残り1,,,,,,,,,,
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,ニンテンドー3DSLL本体 ホワイト,https://www.suruga-ya.jp/product/other/104010682,19550,駿河屋柏青葉台店,,有,,,発送済
,toynet在庫,,,17000,×9台,,有,,153000,
,,,インボイス有,172550,,,,,,
,,,インボイス無,,,,,,,
,,,,172550,,,,,,
,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,
105,183.72,192906,172550,15686.363636363636,3000,33042.36363636363,,,,
,,,,,,,,,,
,,,,,,,,,,
"New 3DSLL メタリックブラック 5台　28,000",,,,,,,,,,
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,24800,駿河屋天文館店,,有,,,キャンセル
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,29690,駿河屋 秋田オーパ店,27000,有,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,30080,駿河屋 佐大通り店,,有,,,キャンセル
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,New ニンテンドー3DS LL メタリックブラック,https://www.amazon.co.jp/%E4%BB%BB%E5%A4%A9%E5%A0%82-New%E3%83%8B%E3%83%B3%E3%83%86%E3%83%B3%E3%83%89%E3%83%BC3DS-LL-%E3%83%A1%E3%82%BF%E3%83%AA%E3%83%83%E3%82%AF%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%80%90%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E7%94%9F%E7%94%A3%E7%B5%82%E4%BA%86%E3%80%91/dp/B00NAW5DT8/ref=mp_s_a_1_2?crid=3J484NQSEJ0P4&dib=eyJ2IjoiMSJ9.N3qHe5ixQoJZthGka1SNnm2N5FGXm5gFWhINRZFuIsA53Ata9e8i9CFl55HVXyhxO_Dym9lDsDX6M3te7UKuuISWddaUD2VnfDe_KF8uFG-7EDKne-41sYxfDwrO56Mhd8WWn1ys0hCBllgSkgqC6BWaOSS8iBcrd5Rk60OQzrlflgWP5fx4zXCibVygKwecO6LnAx0bUf2-OACMoKNdZw.EtRi-ZmyCUKMtQHaZPte2FTVvd8_mv0hSzeUgj9_PD0&dib_tag=se&keywords=new+3ds+ll&qid=1768097272&sprefix=%2Caps%2C259&sr=8-2,29800,,27200,有,,,発送済
Mon Jan 12 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Newニンテンドー3DSLL メタリックブラック Nintendo,https://paypayfleamarket.yahoo.co.jp/item/z535372656?cpt_s=payf&cpt_m=share&cpt_n=item&cpt_c=android,28000,5700残高,,無,,,発送済
Tue Jan 13 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Newニンテンドー3DSLL メタリックブラック　任天堂　ニンテンドー,https://paypayfleamarket.yahoo.co.jp/item/z529783740?cpt_s=payf&cpt_m=share&cpt_n=item&cpt_c=android,28000,105P,,無,,,発送済
Wed Jan 14 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,ニンテンドー3DSハード　Newニンテンドー3DSLL本体 メタリックブラック(状態：ARカード欠品),https://www.suruga-ya.jp/product/detail/104013092?tenpo_cd=400463,34400,駿河屋新潟駅南店,,有,,,キャンセル
Tue Jan 20 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,32910,駿河屋宇都宮テクノ店,,有,,,発送済
,,,インボイス有,92400,,,,,,
,,,インボイス無,56000,,,,,,
,,,,148400,,,,,,
,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,
160,183.72,146976,148400,8400,1500,5476,,,,
,,,,,,,,,,
,,,https://www.suruga-ya.jp/product/other/104012271,32910,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"wii リモコンプラス 10台 1,700",,,,,,,,,,
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Wiiリモコンプラス （シロ）ストラップ付き①,https://paypayfleamarket.yahoo.co.jp/item/z541139022,1200,429P・771残高,,無,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,★★wiiリモコンプラス ホワイト＆ホワイト カバーストラップ付 清掃・除菌済みセット★★,https://paypayfleamarket.yahoo.co.jp/item/z502200244?cpt_s=payf&cpt_m=share&cpt_n=item&cpt_c=android,2640,2台・残高,,無,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Wiiリモコンプラス （シロ）ジャケット・ストラップ付き⑤,https://paypayfleamarket.yahoo.co.jp/item/z538789018,1250,残高,,無,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Wiiリモコンプラス （シロ）ジャケット・ストラップ付き③,https://paypayfleamarket.yahoo.co.jp/item/z538787316,1250,残高,,無,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,★★wiiリモコンプラス ホワイト＆ホワイト カバーストラップ付 清掃・除菌済みセット★★,https://paypayfleamarket.yahoo.co.jp/item/z541401076,2650,2台・残高,,無,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,★★wiiリモコンプラス ホワイト＆ホワイト カバーストラップ付 清掃・除菌済みセット★★,https://paypayfleamarket.yahoo.co.jp/item/z541418982,2650,2台・残高,,無,,,発送済
Sun Jan 11 2026 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,Wii リモコン プラス 任天堂 ホワイト,https://paypayfleamarket.yahoo.co.jp/item/z443720912,1770,残高,,無,,,発送済
,,,インボイス有,,,,,,,
,,,インボイス無,13410,,,,,,
,,,,13410,,,,,,
,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,
16,183.72,29395.2,13410,0,1500,14485.2,,,,
