購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出庫,,進捗
New 3DS LL 20台 28000,,,,,,,,,,
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,81230,3台・駿河屋高松瓦町FLAG店,メタリックブラック,有,？,27077,発送済
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックブラック,https://www.suruga-ya.jp/product/other/104012271,28470,駿河屋　七ッ島店,メタリックブラック,有,,,キャンセル
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 ライム×ブラック,https://www.suruga-ya.jp/product/other/104013695,30070,駿河屋 名古屋栄店,ライム×ブラック,有,✓,,発送済
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 ライム×ブラック,https://www.suruga-ya.jp/product/other/104013695,30500,駿河屋 松山大街道店,ライム×ブラック,有,？,,発送済
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 ライム×ブラック,https://www.suruga-ya.jp/product/other/104013695,30490,駿河屋　七ッ島店,ライム×ブラック,有,,,キャンセル
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 メタリックレッド,https://www.suruga-ya.jp/product/other/104013300,26700,駿河屋　フォレオ東仙台店,メタリックレッド,有,✓,,発送済
Sat Jan 24 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,Newニンテンドー3DSLL本体 ピンク×ホワイト,https://www.suruga-ya.jp/product/other/104013696,30300,駿河屋宇都宮テクノ店,ピンク×ホワイト,有,✓,,発送済
Sat Jan 31 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 パールホワイト,https://www.suruga-ya.jp/product/other/104013173,30450,駿河屋 町田旭町店,パールホワイト,有,354,,発送済
Sat Jan 31 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 パールホワイト,https://www.suruga-ya.jp/product/other/104013173,30800,駿河屋 桑名店が,パールホワイト,有,354,,発送済
Sat Jan 31 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 パールホワイト,https://www.suruga-ya.jp/product/other/104013173,30800,駿河屋　津白塚店,パールホワイト,有,354,,発送済
Sun Feb 01 2026 00:00:00 GMT+0900 (Japan Standard Time),駿河屋,中古ニンテンドー3DSハード Newニンテンドー3DSLL本体 メタリックブルー,https://www.suruga-ya.jp/product/other/104012270,24130,駿河屋 秋田オーパ店,メタリックブルー,有,354,,発送済
,,toynet,,27000,×9,,有,,243000,発送済
,,,インボイス有,503827,,,,,,
,,,インボイス無,,,,,,,
,,,,503827,,,,,,
,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,
158,184.17,581977.2,503827,45802.454545454544,6000,117952.6545454545,,,,
