,管理番号,仕入先サイト,商品名,,,数,受取,発送,備考,入庫登録,出庫登録
false,,,PSP 3000 ブラック,,,5,,,,,
false,,,PSP 3000 レッド,,,1,,,,,
false,,,PSP 3000 ホワイト,,,2,,,,,
false,,,PSP 3000 シルバー,,,3,,,,,
false,,,PS VITA 2000 Black,,,5,,,,,
false,,,スイッチライト コーラル,,,2,,,,,
false,,,スイッチタブレット,,,8,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,zaico 不良品タブに計上済み,,,,,,,,
false,,,,,,,,,,,
false,,,INV 153 – 2 missing + 1 failed switch Tablet,,,,,,,,
false,,,INV 160 – 4 failed PSP vita 2000 (black lines on display),,,,,,,,
false,,,INV 171 – 3 PSP 3000 (2 with display issues + 1 with broken power button,,,,,,,,
false,,,INV 183 – 5 failed switch tablet (3 not charging + 1 not recognize controllers + 1 PIN locked,,,,,,,,
false,,,INV 191 – 2 failed switch lite (2 not charging),,,,,,,,
false,,,INV 203 – 1 failed vita 2000 (not charging),,,,,,,,
false,,,INV 204 – 1 failed switch tablet (PIN locked),,,,,,,,
false,,,INV 211 – 3 failed PSP 3000 (3 with display issues),,,,,,,,
false,,,INV 218 -3 failed PSP 3000 (1 with no power + 1 with display issue + 1 broken back cover,,,,,,,,
false,,,INV 226 – 1 failed switch Tablet (Bad scuff),,,,,,,,
false,,,INV 244 – 2 failed PSP 3000 (2 with display issues),,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
false,,,,,,,,,,,
